丌,雞,ㄐㄧ,4E0C,False
不,猴,ㄈㄡ,4E0D,True
丗,鼠,ㄕˋ,4E17,False
且,雞,ㄐㄩ,4E14,True
世,鼠,ㄕˋ,4E16,False
丝,鼠,ㄙ,4E1D,False
丮,雞,ㄐㄧˇ,4E2E,False
丶,豬,ㄓㄨˇ,4E36,False
主,豬,ㄓㄨˇ,4E3B,False
举,雞,ㄐㄩˇ,4E3E,False
乀,虎,ㄈㄨˊ,4E40,False
之,豬,ㄓ,4E4B,False
乎,虎,ㄏㄨˊ,4E4E,True
乕,虎,ㄏㄨˇ,4E55,False
乥,虎,ㄏㄨˋ,4E65,False
书,鼠,ㄕㄨ,4E66,False
乨,鼠,ㄕˇ,4E68,False
乩,雞,ㄐㄧ,4E69,False
乬,雞,ㄐㄩˋ,4E6C,False
乭,鼠,ㄕˊ,4E6D,False
乯,虎,ㄏㄨ,4E6F,False
乶,虎,ㄈㄨˇ,4E76,False
亊,鼠,ㄕˋ,4E8A,False
事,鼠,ㄕˋ,4E8B,False
互,虎,ㄏㄨˋ,4E92,False
亖,鼠,ㄙˋ,4E96,False
亟,雞,ㄐㄧˊ,4E9F,True
亼,雞,ㄐㄧˊ,4EBC,False
什,蛇,ㄕㄣˊ,4EC0,True
仆,虎,ㄈㄨˋ,4EC6,True
仏,猴,ㄈㄛˊ,4ECF,False
仕,鼠,ㄕˋ,4ED5,False
付,虎,ㄈㄨˋ,4ED8,False
仰,羊,ㄧㄤˋ,4EF0,True
伋,雞,ㄐㄧˊ,4F0B,False
伎,雞,ㄐㄧˋ,4F0E,True
伏,虎,ㄈㄨˊ,4F0F,False
伔,蛇,ㄕㄣˇ,4F14,True
伕,虎,ㄈㄨ,4F15,False
伙,猴,ㄏㄨㄛˇ,4F19,True
伫,豬,ㄓㄨˋ,4F2B,False
伸,蛇,ㄕㄣ,4F38,False
伺,鼠,ㄙˋ,4F3A,True
似,鼠,ㄕˋ,4F3C,True
佀,鼠,ㄕˋ,4F40,True
佁,鼠,ㄙˋ,4F41,True
佇,豬,ㄓㄨˋ,4F47,False
住,豬,ㄓㄨˋ,4F4F,False
佒,羊,ㄧㄤ,4F52,False
何,猴,ㄏㄜˋ,4F55,True
佘,蛇,ㄕㄜˊ,4F58,False
佛,虎,ㄈㄨˊ,4F5B,True
佝,狗,ㄍㄡ,4F5D,True
佫,猴,ㄏㄜˋ,4F6B,False
佯,羊,ㄧㄤˊ,4F6F,False
佶,雞,ㄐㄧˊ,4F76,False
佸,猴,ㄏㄨㄛˊ,4F78,False
使,鼠,ㄕˋ,4F7F,True
侁,蛇,ㄕㄣ,4F81,False
侄,豬,ㄓˊ,4F84,False
侍,鼠,ㄕˋ,4F8D,False
侏,豬,ㄓㄨ,4F8F,False
侬,龍,ㄋㄨㄥˊ,4FAC,False
侯,猴,ㄏㄡˋ,4FAF,True
侷,雞,ㄐㄩˊ,4FB7,False
侸,鼠,ㄕㄨˋ,4FB8,False
侺,蛇,ㄕㄣˋ,4FBA,False
俆,鼠,ㄕㄨ,4FC6,True
俌,虎,ㄈㄨˇ,4FCC,False
俎,豬,ㄗㄨˇ,4FCE,False
俗,鼠,ㄙㄨˊ,4FD7,False
俘,虎,ㄈㄨˊ,4FD8,False
俛,虎,ㄈㄨˇ,4FDB,True
俞,鼠,ㄕㄨˋ,4FDE,True
俟,鼠,ㄙˋ,4FDF,True
信,蛇,ㄕㄣ,4FE1,True
俯,虎,ㄈㄨˇ,4FEF,False
俰,猴,ㄏㄜˋ,4FF0,False
俱,雞,ㄐㄩˋ,4FF1,False
倏,鼠,ㄕㄨ,500F,False
倐,鼠,ㄕㄨ,5010,False
候,猴,ㄏㄡˋ,5019,False
値,豬,ㄓˊ,5024,False
倨,雞,ㄐㄩˋ,5028,False
倶,雞,ㄐㄩ,5036,True
值,豬,ㄓˋ,503C,True
偈,雞,ㄐㄧˋ,5048,True
偊,雞,ㄐㄩˇ,504A,True
偩,虎,ㄈㄨˋ,5069,False
偫,豬,ㄓˋ,506B,False
偮,雞,ㄐㄧˊ,506E,False
偲,鼠,ㄙ,5072,False
傂,豬,ㄓˋ,5082,False
傃,鼠,ㄙㄨˋ,5083,False
傅,虎,ㄈㄨ,5085,True
傇,龍,ㄖㄨㄥˇ,5087,False
傋,狗,ㄍㄡˋ,508B,False
傌,馬,ㄇㄚˋ,508C,False
傛,龍,ㄖㄨㄥˊ,509B,True
傟,羊,ㄧㄤˇ,509F,False
僟,雞,ㄐㄧ,50DF,False
僳,鼠,ㄙㄨˋ,50F3,False
儂,龍,ㄋㄨㄥˊ,5102,False
儥,兔,ㄉㄨˊ,5125,False
儨,豬,ㄓˊ,5128,False
儩,鼠,ㄙˋ,5129,False
儱,龍,ㄌㄨㄥˇ,5131,False
儵,鼠,ㄕㄨ,5135,False
兎,兔,ㄊㄨˋ,514E,False
兔,兔,ㄊㄨˋ,5154,False
兕,鼠,ㄙˋ,5155,False
兘,鼠,ㄕˇ,5158,False
兟,蛇,ㄕㄣ,515F,False
兪,鼠,ㄕㄨˋ,516A,True
六,牛,ㄌㄧㄡˋ,516D,True
其,雞,ㄐㄧ,5176,True
具,雞,ㄐㄩˋ,5177,False
养,羊,ㄧㄤˋ,517B,True
兾,雞,ㄐㄧˋ,517E,False
冀,雞,ㄐㄧˋ,5180,False
冓,狗,ㄍㄡ,5193,True
冗,龍,ㄖㄨㄥˇ,5197,False
农,龍,ㄋㄨㄥˊ,519C,False
冟,鼠,ㄕˋ,519F,False
冣,雞,ㄐㄩˋ,51A3,False
冨,虎,ㄈㄨˋ,51A8,False
冱,虎,ㄏㄨˋ,51B1,False
冴,虎,ㄏㄨˋ,51B4,False
冹,虎,ㄈㄨˊ,51B9,False
凁,鼠,ㄕㄨˋ,51C1,False
凃,兔,ㄊㄨˊ,51C3,False
凅,猴,ㄏㄜˊ,51C5,True
凘,鼠,ㄙ,51D8,False
凟,兔,ㄉㄨˊ,51DF,False
几,雞,ㄐㄧˇ,51E0,True
凥,雞,ㄐㄩ,51E5,False
処,雞,ㄐㄩˋ,51E6,True
凫,虎,ㄈㄨˊ,51EB,False
凸,兔,ㄊㄨ,51F8,False
击,雞,ㄐㄧ,51FB,True
刉,雞,ㄐㄧ,5209,False
刏,雞,ㄐㄧ,520F,False
刘,牛,ㄌㄧㄡˊ,5218,False
刜,虎,ㄈㄨˊ,521C,False
刟,雞,ㄐㄩ,521F,False
制,豬,ㄓˋ,5236,False
剂,雞,ㄐㄧˋ,5242,False
剞,雞,ㄐㄧ,525E,False
剤,雞,ㄐㄧˋ,5264,False
剧,雞,ㄐㄩˋ,5267,False
剨,猴,ㄏㄨㄛˋ,5268,False
剬,豬,ㄓˋ,526C,True
副,虎,ㄈㄨˋ,526F,False
剻,猴,ㄈㄡˊ,527B,False
劇,雞,ㄐㄩˋ,5287,False
劉,牛,ㄌㄧㄡˊ,5289,False
劐,猴,ㄏㄨㄛ,5290,False
劑,雞,ㄐㄧˋ,5291,False
劕,豬,ㄓˊ,5295,False
劚,豬,ㄓㄨˊ,529A,False
劧,豬,ㄓˇ,52A7,False
助,豬,ㄓㄨˋ,52A9,False
劯,豬,ㄓㄨ,52AF,False
劷,羊,ㄧㄤˊ,52B7,False
劾,猴,ㄏㄜˊ,52BE,False
势,鼠,ㄕˋ,52BF,False
勢,鼠,ㄕˋ,52E2,False
勣,雞,ㄐㄧ,52E3,False
勨,羊,ㄧㄤˇ,52E8,False
勮,雞,ㄐㄩˋ,52EE,False
勾,狗,ㄍㄡˋ,52FE,True
匊,雞,ㄐㄩˊ,530A,False
匐,虎,ㄈㄨˊ,5310,False
匢,虎,ㄏㄨ,5322,False
匫,虎,ㄏㄨ,532B,False
匵,兔,ㄉㄨˊ,5335,False
十,鼠,ㄕˊ,5341,False
卆,豬,ㄗㄨˊ,5346,False
卋,鼠,ㄕˋ,534B,False
卒,豬,ㄗㄨˊ,5352,True
卙,雞,ㄐㄧˊ,5359,False
卬,羊,ㄧㄤˇ,536C,True
卮,豬,ㄓ,536E,False
即,雞,ㄐㄧˊ,5373,False
卶,鼠,ㄕˋ,5376,False
卽,雞,ㄐㄧˊ,537D,False
厍,蛇,ㄕㄜˋ,538D,False
厎,豬,ㄓˇ,538E,False
厒,猴,ㄏㄜˊ,5392,False
厔,豬,ㄓˋ,5394,False
厙,蛇,ㄕㄜˋ,5399,False
厚,猴,ㄏㄡˋ,539A,False
虒,鼠,ㄙ,8652,True
厮,鼠,ㄙ,53AE,False
厶,鼠,ㄙ,53B6,True
厾,兔,ㄉㄨ,53BE,False
参,蛇,ㄕㄣ,53C2,True
參,蛇,ㄕㄣ,53C3,True
叄,蛇,ㄕㄣ,53C4,True
及,雞,ㄐㄧˊ,53CA,False
叓,鼠,ㄕˋ,53D3,True
叔,鼠,ㄕㄨ,53D4,False
句,狗,ㄍㄡ,53E5,True
只,豬,ㄓ,53EA,True
史,鼠,ㄕˇ,53F2,False
叶,蛇,ㄕㄜˋ,53F6,True
司,鼠,ㄙ,53F8,False
叽,雞,ㄐㄧ,53FD,False
吃,雞,ㄐㄧ,5403,True
合,猴,ㄏㄜˊ,5408,True
吉,雞,ㄐㄧˊ,5409,False
后,猴,ㄏㄡˋ,540E,False
吐,兔,ㄊㄨˋ,5410,True
吓,猴,ㄏㄜˋ,5413,True
吗,馬,ㄇㄚˇ,5417,True
否,猴,ㄈㄡˇ,5426,True
吱,豬,ㄓ,5431,True
吲,蛇,ㄕㄣˇ,5432,True
吼,猴,ㄏㄡˇ,543C,False
吽,猴,ㄏㄡˇ,543D,True
呋,虎,ㄈㄨ,544B,False
呒,虎,ㄈㄨˇ,5452,False
呙,狗,ㄍㄨㄛ,5459,True
呞,鼠,ㄕ,545E,True
呩,鼠,ㄕˋ,5469,False
呴,猴,ㄏㄡ,5474,True
呵,猴,ㄏㄜ,5475,False
呻,蛇,ㄕㄣ,547B,False
呼,虎,ㄏㄨ,547C,True
咀,豬,ㄗㄨˇ,5480,True
咈,虎,ㄈㄨˊ,5488,False
咉,羊,ㄧㄤ,5489,False
咊,猴,ㄏㄜˋ,548A,True
和,猴,ㄏㄜˋ,548C,True
咐,虎,ㄈㄨˋ,5490,False
咙,龍,ㄌㄨㄥˊ,5499,False
咝,鼠,ㄙ,549D,False
咟,猴,ㄏㄨㄛˋ,549F,False
咥,豬,ㄓˋ,54A5,True
咫,豬,ㄓˇ,54AB,False
咭,雞,ㄐㄧ,54AD,False
咶,鼠,ㄕˋ,54B6,True
哂,蛇,ㄕㄣˇ,54C2,False
哜,雞,ㄐㄧˋ,54DC,False
哝,龍,ㄋㄨㄥˊ,54DD,False
哢,龍,ㄌㄨㄥˋ,54E2,False
哫,豬,ㄗㄨˊ,54EB,False
哬,猴,ㄏㄜˊ,54EC,False
哹,猴,ㄈㄡˊ,54F9,False
唋,兔,ㄊㄨˇ,550B,False
唛,馬,ㄇㄚˋ,551B,False
唧,雞,ㄐㄧ,5527,False
𠲿,鼠,ㄕㄨˋ,20CBF,False
唨,豬,ㄗㄨˇ,5528,True
唬,虎,ㄏㄨˇ,552C,False
唶,雞,ㄐㄧˊ,5536,True
唿,虎,ㄏㄨ,553F,False
啒,虎,ㄏㄨ,5552,False
啚,兔,ㄊㄨˊ,555A,True
啝,猴,ㄏㄜˊ,555D,False
啬,蛇,ㄙㄜˋ,556C,False
啹,雞,ㄐㄩˊ,5579,False
喉,猴,ㄏㄡˊ,5589,False
喖,虎,ㄏㄨˊ,5596,False
喛,猴,ㄏㄜˊ,559B,True
喝,猴,ㄏㄜˋ,559D,True
喞,雞,ㄐㄧ,559E,False
喥,兔,ㄉㄨˋ,55A5,False
喫,雞,ㄐㄧ,55AB,True
㗘,虎,ㄈㄨˋ,35D8,True
嗀,猴,ㄏㄨㄛˋ,55C0,False
嗃,猴,ㄏㄜˋ,55C3,True
嗇,蛇,ㄙㄜˋ,55C7,False
嗉,鼠,ㄙㄨˋ,55C9,False
嗎,馬,ㄇㄚˇ,55CE,True
嗑,猴,ㄏㄜˊ,55D1,True
嗘,雞,ㄐㄧ,55D8,False
嗜,鼠,ㄕˋ,55DC,False
嗣,鼠,ㄙˋ,55E3,False
嗬,猴,ㄏㄜ,55EC,False
嗭,豬,ㄓˊ,55ED,False
嘑,虎,ㄏㄨˋ,5611,True
嘓,狗,ㄍㄨㄛ,5613,False
嘜,馬,ㄇㄚˋ,561C,False
嘝,虎,ㄏㄨˊ,561D,False
㗱,雞,ㄐㄧˊ,35F1,False
嘟,兔,ㄉㄨ,561F,False
嘰,雞,ㄐㄧ,5630,False
嘱,豬,ㄓㄨˇ,5631,False
嘶,鼠,ㄙ,5636,True
嘸,虎,ㄈㄨˇ,5638,False
噝,鼠,ㄙ,565D,False
噥,龍,ㄋㄨㄥˊ,5665,False
噬,鼠,ㄕˋ,566C,False
嚄,猴,ㄏㄨㄛ,5684,True
嚇,猴,ㄏㄜˋ,5687,True
嚌,雞,ㄐㄧˋ,568C,False
嚛,虎,ㄏㄨˋ,569B,False
嚠,牛,ㄌㄧㄡ,56A0,True
嚨,龍,ㄌㄨㄥˊ,56A8,False
嚩,虎,ㄈㄨˊ,56A9,True
嚯,猴,ㄏㄨㄛˋ,56AF,False
嚿,猴,ㄏㄨㄛˋ,56BF,False
囌,鼠,ㄙㄨ,56CC,False
囑,豬,ㄓㄨˇ,56D1,False
四,鼠,ㄙˋ,56DB,False
囫,虎,ㄏㄨˊ,56EB,False
囯,狗,ㄍㄨㄛˊ,56EF,False
図,兔,ㄊㄨˊ,56F3,False
囶,狗,ㄍㄨㄛˊ,56F6,False
囻,狗,ㄍㄨㄛˊ,56FB,False
国,狗,ㄍㄨㄛˊ,56FD,False
图,兔,ㄊㄨˊ,56FE,False
圀,狗,ㄍㄨㄛˊ,5700,False
國,狗,ㄍㄨㄛˊ,570B,False
圑,虎,ㄈㄨˋ,5711,False
圕,兔,ㄊㄨˊ,5715,False
圖,兔,ㄊㄨˊ,5716,False
圗,兔,ㄊㄨˊ,5717,False
土,兔,ㄊㄨˇ,571F,False
圡,兔,ㄊㄨˇ,5721,False
圾,雞,ㄐㄧ,573E,True
址,豬,ㄓˇ,5740,False
坁,豬,ㄓˇ,5741,False
坖,雞,ㄐㄧˋ,5756,False
坧,豬,ㄓ,5767,False
坱,羊,ㄧㄤˇ,5771,False
坲,猴,ㄈㄛˊ,5772,False
坴,牛,ㄌㄧㄡˋ,5774,False
坸,狗,ㄍㄡˋ,5778,False
坾,豬,ㄓㄨˋ,577E,False
坿,虎,ㄈㄨˋ,577F,False
垀,虎,ㄏㄨ,5780,False
垁,豬,ㄓˋ,5781,False
垄,龍,ㄌㄨㄥˇ,5784,False
垅,龍,ㄌㄨㄥˇ,5785,False
垍,雞,ㄐㄧˋ,578D,False
垕,猴,ㄏㄡˋ,5795,False
垘,虎,ㄈㄨˊ,5798,False
垟,羊,ㄧㄤˊ,579F,False
垢,狗,ㄍㄡˋ,57A2,False
垺,虎,ㄈㄨˊ,57BA,True
埘,鼠,ㄕˊ,57D8,False
埚,狗,ㄍㄨㄛ,57DA,False
埧,雞,ㄐㄩˋ,57E7,False
埱,鼠,ㄕㄨˊ,57F1,False
埴,豬,ㄓˊ,57F4,False
埶,鼠,ㄕˋ,57F6,True
執,豬,ㄓˊ,57F7,False
基,雞,ㄐㄧ,57FA,False
埾,雞,ㄐㄩˋ,57FE,False
堍,兔,ㄊㄨˋ,580D,False
堗,兔,ㄊㄨ,5817,False
堝,狗,ㄍㄨㄛ,581D,False
堠,猴,ㄏㄡˋ,5820,False
堲,雞,ㄐㄧˊ,5832,False
堵,兔,ㄉㄨˇ,5835,False
塈,雞,ㄐㄧˋ,5848,True
塉,雞,ㄐㄧˊ,5849,False
塐,鼠,ㄙㄨˋ,5850,False
塑,鼠,ㄙㄨˋ,5851,False
塒,鼠,ㄕˊ,5852,False
塗,兔,ㄊㄨˊ,5857,False
塞,蛇,ㄙㄜˋ,585E,True
塯,牛,ㄌㄧㄡˋ,586F,False
塾,鼠,ㄕㄨˊ,587E,False
墅,鼠,ㄕㄨˋ,5885,False
墌,豬,ㄓ,588C,False
墍,雞,ㄐㄧˋ,588D,True
墎,狗,ㄍㄨㄛˋ,588E,True
墼,雞,ㄐㄧ,58BC,False
壉,雞,ㄐㄩˋ,58C9,False
壑,猴,ㄏㄨㄛˋ,58D1,True
壟,龍,ㄌㄨㄥˇ,58DF,False
壠,龍,ㄌㄨㄥˇ,58E0,False
士,鼠,ㄕˋ,58EB,False
壴,豬,ㄓㄨˇ,58F4,False
壶,虎,ㄏㄨˊ,58F6,False
壷,虎,ㄏㄨˊ,58F7,False
壺,虎,ㄏㄨˊ,58FA,False
夂,豬,ㄓˇ,5902,False
复,虎,ㄈㄨˋ,590D,False
夙,鼠,ㄙㄨˋ,5919,False
够,狗,ㄍㄡˋ,591F,False
夠,狗,ㄍㄡˋ,5920,False
夥,猴,ㄏㄨㄛˇ,5925,False
夫,虎,ㄈㄨˊ,592B,True
央,羊,ㄧㄤ,592E,False
失,鼠,ㄕ,5931,False
奇,雞,ㄐㄧ,5947,True
奓,蛇,ㄕㄜ,5953,True
奢,蛇,ㄕㄜ,5962,False
奭,鼠,ㄕˋ,596D,False
奯,猴,ㄏㄨㄛˋ,596F,False
妀,雞,ㄐㄧˇ,5980,False
妇,虎,ㄈㄨˋ,5987,False
妈,馬,ㄇㄚ,5988,False
妋,虎,ㄈㄨ,598B,False
妒,兔,ㄉㄨˋ,5992,False
妓,雞,ㄐㄧˋ,5993,False
妞,牛,ㄋㄧㄡ,599E,False
妬,兔,ㄉㄨˋ,59AC,False
妯,豬,ㄓㄨˊ,59AF,True
妷,豬,ㄓˊ,59B7,False
妽,蛇,ㄕㄣ,59BD,False
姀,猴,ㄏㄜˊ,59C0,False
姇,虎,ㄈㄨ,59C7,False
始,鼠,ㄕˇ,59CB,False
姎,羊,ㄧㄤ,59CE,False
姒,鼠,ㄙˋ,59D2,False
姖,雞,ㄐㄩˋ,59D6,False
姝,鼠,ㄕㄨ,59DD,False
姞,雞,ㄐㄧˊ,59DE,False
姤,狗,ㄍㄡˋ,59E4,False
姪,豬,ㄓˊ,59EA,False
姫,雞,ㄐㄧ,59EB,False
姺,蛇,ㄕㄣ,59FA,True
姬,雞,ㄐㄧ,59EC,False
娐,虎,ㄈㄨ,5A10,False
娠,蛇,ㄕㄣ,5A20,False
娡,豬,ㄓˋ,5A21,False
娰,鼠,ㄙˋ,5A30,False
娵,雞,ㄐㄩ,5A35,False
婅,雞,ㄐㄩˊ,5A45,False
婌,鼠,ㄕㄨˇ,5A4C,False
婏,虎,ㄈㄨˋ,5A4F,False
婟,虎,ㄏㄨˋ,5A5F,False
婦,虎,ㄈㄨˋ,5A66,False
婮,雞,ㄐㄩ,5A6E,False
婶,蛇,ㄕㄣˇ,5A76,False
媍,虎,ㄈㄨˋ,5A8D,False
媤,鼠,ㄙ,5AA4,False
媩,虎,ㄏㄨˊ,5AA9,False
媶,龍,ㄖㄨㄥˊ,5AB6,False
媹,牛,ㄌㄧㄡˊ,5AB9,False
媽,馬,ㄇㄚ,5ABD,False
媾,狗,ㄍㄡˋ,5ABE,False
嫉,雞,ㄐㄧˊ,5AC9,False
嫊,鼠,ㄙㄨˋ,5ACA,False
嫭,虎,ㄏㄨˋ,5AED,False
嫮,虎,ㄏㄨˋ,5AEE,False
嬂,豬,ㄓ,5B02,False
嬔,虎,ㄈㄨˋ,5B14,False
嬕,鼠,ㄕˋ,5B15,False
嬤,馬,ㄇㄚ,5B24,False
嬫,龍,ㄖㄨㄥˊ,5B2B,False
嬷,馬,ㄇㄚ,5B37,False
嬸,蛇,ㄕㄣˇ,5B38,False
嬻,兔,ㄉㄨˊ,5B3B,False
嬼,牛,ㄌㄧㄡˇ,5B3C,False
孎,豬,ㄓㄨˇ,5B4E,False
孖,馬,ㄇㄚ,5B56,True
孚,虎,ㄈㄨ,5B5A,True
孠,鼠,ㄙˋ,5B60,False
季,雞,ㄐㄧˋ,5B63,False
孰,鼠,ㄕㄨˊ,5B70,False
孵,虎,ㄈㄨ,5B75,False
宁,豬,ㄓㄨˋ,5B81,True
宂,龍,ㄖㄨㄥˇ,5B82,False
宊,兔,ㄊㄨˊ,5B8A,False
宓,虎,ㄈㄨˊ,5B93,True
宔,豬,ㄓㄨˇ,5B94,False
实,鼠,ㄕˊ,5B9E,False
実,鼠,ㄕˊ,5B9F,False
审,蛇,ㄕㄣˇ,5BA1,False
室,鼠,ㄕˋ,5BA4,False
宩,鼠,ㄕˇ,5BA9,False
害,猴,ㄏㄜˊ,5BB3,True
宷,蛇,ㄕㄣˇ,5BB7,False
容,龍,ㄖㄨㄥˊ,5BB9,False
宿,鼠,ㄙㄨˋ,5BBF,True
寂,雞,ㄐㄧˋ,5BC2,False
寄,雞,ㄐㄧˋ,5BC4,False
富,虎,ㄈㄨˋ,5BCC,False
寔,鼠,ㄕˊ,5BD4,False
寘,豬,ㄓˋ,5BD8,False
寠,雞,ㄐㄩˋ,5BE0,True
寣,虎,ㄏㄨ,5BE3,False
實,鼠,ㄕˊ,5BE6,False
寧,豬,ㄓㄨˋ,5BE7,True
審,蛇,ㄕㄣˇ,5BE9,False
寺,鼠,ㄙˋ,5BFA,False
尃,虎,ㄈㄨ,5C03,False
射,蛇,ㄕㄜˋ,5C04,True
尌,鼠,ㄕㄨˋ,5C0C,False
尐,雞,ㄐㄧ,5C10,False
尗,鼠,ㄕㄨˊ,5C17,False
尸,鼠,ㄕ,5C38,False
𡰪,兔,ㄉㄨ,21C2A,False
𡰯,鼠,ㄕˇ,21C2F,False
局,雞,ㄐㄩˊ,5C40,False
居,雞,ㄐㄧ,5C45,True
屍,鼠,ㄕ,5C4D,False
屎,鼠,ㄕˇ,5C4E,True
屐,雞,ㄐㄧ,5C50,False
属,豬,ㄓㄨˇ,5C5E,True
屠,兔,ㄊㄨˊ,5C60,False
屦,雞,ㄐㄩˋ,5C66,False
屨,雞,ㄐㄩˋ,5C68,False
屬,豬,ㄓㄨˇ,5C6C,True
